iter	Passed	Remaining
209	14694	55280
210	14785	55287
211	14871	55277
212	14948	55233
213	15039	55239
214	15120	55207
215	15218	55237
216	15264	55078
217	15336	55015
218	15428	55021
219	15520	55027
220	15563	54858
221	15633	54787
222	15723	54784
223	15782	54674
224	15854	54611
225	15903	54465
226	15998	54479
227	16116	54571
228	16158	54403
229	16237	54360
230	16311	54301
231	16400	54290
232	16496	54304
233	16590	54308
234	16697	54354
235	16746	54214
236	16812	54127
237	16923	54182
238	16980	54067
239	17068	54049
240	17162	54049
241	17230	53968
242	17269	53799
243	17332	53703
244	17386	53577
245	17438	53449
246	17525	53428
247	17600	53370
248	17676	53314
249	17789	53368
250	17866	53315
251	17957	53303
252	18062	53329
253	18103	53170
254	18202	53180
255	18252	53046
256	18299	52905
257	18376	52851
258	18421	52703
259	18507	52675
260	18619	52719
261	18663	52570
262	18752	52549
263	18798	52408
264	18844	52267
265	18899	52150
266	19000	52163
267	19032	51983
268	19075	51837
269	19150	51778
270	19232	51735
271	19294	51641
272	19354	51540
273	19393	51385
274	19451	51280
275	19518	51200
276	19589	51130
277	19694	51148
278	19789	51140
279	19822	50972
280	19921	50972
281	19979	50870
282	20052	50804
283	20136	50766
284	20257	50821
285	20362	50834
286	20422	50736
287	20500	50681
288	20545	50546
289	20607	50452
290	20685	50399
291	20795	50421
292	20874	50369
293	20973	50364
294	21058	50325
295	21104	50194
296	21190	50158
297	21258	50078
298	21346	50047
299	21388	49907
300	21453	49820
301	21520	49738
302	21557	49589
303	21658	49586
304	21706	49462
305	21787	49414
306	21890	49413
307	21963	49346
308	22040	49287
309	22090	49169
310	22171	49120
311	22226	49011
312	22295	48935
313	22357	48844
314	22423	48762
315	22511	48728
316	22560	48608
317	22609	48489
318	22670	48396
319	22722	48284
320	22809	48248
321	22872	48160
322	22970	48145
323	23011	48011
324	23045	47863
325	23128	47818
326	23165	47677
327	23220	47574
328	23276	47473
329	23394	47497
330	23439	47375
331	23513	47310
332	23624	47319
333	23711	47280
334	23761	47167
335	23820	47074
336	23905	47030
337	23949	46906
338	24034	46864
339	24082	46747
340	24127	46627
341	24181	46524
342	24275	46499
343	24327	46392
344	24401	46328
345	24487	46285
346	24559	46217
347	24663	46208
348	24709	46090
349	24782	46023
350	24828	45907
351	24869	45782
352	24904	45647
353	25047	45707
354	25136	45670
355	25244	45666
356	25282	45535
357	25373	45502
358	25420	45388
359	25490	45315
360	25582	45283
361	25662	45229
362	25754	45193
363	25855	45175
364	25898	45055
365	25942	44938
366	26007	44857
367	26045	44730
368	26117	44662
369	26184	44583
370	26248	44502
371	26322	44436
372	26404	44384
373	26498	44353
374	26559	44265
375	26621	44179
376	26711	44141
377	26799	44098
378	26839	43977
379	26926	43932
380	26981	43836
381	27074	43800
382	27133	43710
383	27232	43684
384	27294	43600
385	27386	43562
386	27427	43444
387	27493	43366
388	27574	43311
389	27651	43250
390	27739	43205
391	27785	43095
392	27868	43043
393	27965	43012
394	28030	42932
395	28064	42805
396	28152	42760
397	28200	42654
398	28301	42629
399	28378	42567
400	28459	42511
401	28500	42395
402	28596	42362
403	28657	42277
404	28766	42262
405	28872	42242
406	29001	42255
407	29045	42144
408	29161	42138
409	29205	42027
410	29298	41987
411	29342	41877
412	29395	41779
413	29493	41746
414	29580	41698
415	29657	41634
416	29746	41588
417	29821	41522
418	29903	41465
419	29974	41393
420	30076	41363
421	30137	41278
422	30225	41229
423	30264	41113
424	30358	41073
425	30451	41030
426	30502	40932
427	30587	40878
428	30640	40783
429	30696	40690
430	30794	40654
431	30881	40603
432	30966	40550
433	31078	40531
434	31130	40433
435	31172	40323
436	31272	40289
437	31325	40193
438	31408	40137
439	31498	40088
440	31550	39993
441	31637	39940
442	31677	39829
443	31767	39781
444	31845	39717
445	31957	39696
446	32032	39629
447	32126	39584
448	32202	39517
449	32256	39424
450	32297	39315
451	32386	39264
452	32446	39179
453	32500	39085
454	32591	39037
455	32683	38991
456	32723	38881
457	32810	38828
458	32922	38803
459	33002	38741
460	33079	38675
461	33121	38570
462	33165	38466
463	33207	38360
464	33308	38322
465	33366	38235
466	33449	38177
467	33518	38102
468	33608	38051
469	33689	37990
470	33789	37950
471	33870	37888
472	33923	37796
473	33967	37693
474	34017	37597
475	34094	37532
476	34145	37438
477	34199	37347
478	34299	37307
479	34350	37213
480	34427	37147
481	34508	37085
482	34582	37016
483	34631	36921
484	34731	36879
485	34822	36829
486	34941	36806
487	34983	36703
488	35079	36658
489	35132	36566
490	35176	36466
491	35217	36363
492	35310	36312
493	35364	36223
494	35410	36125
495	35482	36054
496	35528	35957
497	35576	35862
498	35619	35761
499	35725	35725
500	35826	35683
501	35919	35633
502	36004	35575
503	36044	35472
504	36135	35420
505	36222	35363
506	36258	35257
507	36293	35150
508	36392	35105
509	36448	35019
510	36567	34993
511	36620	34904
512	36652	34794
513	36691	34692
514	36776	34634
515	36866	34580
516	36941	34511
517	37038	34464
518	37105	34388
519	37153	34295
520	37201	34202
521	37246	34107
522	37346	34061
523	37428	33999
524	37483	33913
525	37543	33832
526	37629	33774
527	37726	33725
528	37818	33672
529	37918	33625
530	37967	33533
531	38023	33448
532	38127	33406
533	38188	33325
534	38250	33245
535	38296	33152
536	38390	33099
537	38449	33017
538	38497	32926
539	38571	32857
540	38670	32809
541	38741	32737
542	38828	32678
543	38912	32617
544	38972	32536
545	39044	32465
546	39139	32413
547	39228	32355
548	39265	32256
549	39337	32185
550	39430	32131
551	39479	32041
552	39530	31953
553	39589	31871
554	39676	31813
555	39751	31743
556	39796	31651
557	39866	31578
558	39910	31486
559	39953	31391
560	40003	31303
561	40068	31228
562	40114	31137
563	40211	31085
564	40299	31026
565	40388	30969
566	40453	30893
567	40541	30834
568	40646	30788
569	40693	30698
570	40762	30625
571	40841	30559
572	40933	30503
573	40976	30410
574	41018	30317
575	41114	30265
576	41194	30199
577	41259	30124
578	41298	30029
579	41344	29939
580	41448	29891
581	41519	29819
582	41577	29739
583	41669	29682
584	41725	29600
585	41770	29510
586	41817	29422
587	41908	29364
588	41991	29301
589	42079	29241
590	42138	29162
591	42206	29088
592	42249	28997
593	42288	28903
594	42396	28858
595	42452	28776
596	42513	28698
597	42546	28601
598	42590	28511
599	42662	28441
600	42729	28367
601	42769	28276
602	42860	28217
603	42896	28124
604	42988	28066
605	43041	27983
606	43133	27926
607	43259	27890
608	43358	27837
609	43464	27788
610	43503	27696
611	43572	27624
612	43692	27584
613	43745	27501
614	43793	27415
615	43866	27345
616	43931	27270
617	43977	27183
618	44053	27115
619	44148	27058
620	44187	26967
621	44252	26893
622	44306	26811
623	44353	26726
624	44463	26678
625	44593	26642
626	44645	26559
627	44723	26492
628	44798	26423
629	44889	26363
630	44990	26309
631	45037	26224
632	45113	26155
633	45217	26103
634	45296	26036
635	45336	25947
636	45424	25885
637	45516	25825
638	45591	25756
639	45679	25694
640	45713	25602
641	45756	25515
642	45832	25446
643	45897	25371
644	45954	25292
645	46064	25242
646	46172	25191
647	46219	25106
648	46284	25032
649	46391	24979
650	46445	24899
651	46497	24817
652	46586	24755
653	46662	24686
654	46750	24624
655	46850	24567
656	46915	24493
657	46970	24413
658	47066	24354
659	47158	24293
660	47257	24236
661	47357	24179
662	47454	24120
663	47575	24074
664	47623	23990
665	47698	23920
666	47749	23839
667	47863	23788
668	47914	23706
669	47979	23631
670	48046	23557
671	48095	23474
672	48143	23392
673	48203	23315
674	48244	23228
675	48348	23173
676	48425	23104
677	48512	23039
678	48581	22967
679	48631	22885
680	48727	22825
681	48836	22771
682	48919	22704
683	48966	22622
684	49031	22547
685	49075	22463
686	49115	22377
687	49205	22314
688	49247	22229
689	49317	22156
690	49377	22080
691	49423	21997
692	49469	21915
693	49510	21830
694	49594	21764
695	49673	21696
696	49759	21631
697	49796	21545
698	49847	21465
699	49938	21402
700	50055	21350
701	50104	21269
702	50189	21203
703	50266	21134
704	50307	21050
705	50403	20989
706	50458	20911
707	50497	20826
708	50596	20766
709	50650	20688
710	50738	20623
711	50782	20541
712	50863	20473
713	50898	20388
714	50999	20328
715	51080	20261
716	51188	20204
717	51237	20123
718	51310	20053
719	51377	19979
720	51430	19901
721	51472	19818
722	51520	19738
723	51564	19657
724	51679	19602
725	51753	19532
726	51809	19455
727	51890	19387
728	51921	19301
729	52017	19239
730	52104	19173
731	52160	19096
732	52237	19028
733	52323	18961
734	52417	18898
735	52510	18835
736	52596	18769
737	52688	18705
738	52745	18628
739	52857	18571
740	52944	18505
741	53038	18441
742	53089	18363
743	53198	18304
744	53278	18236
745	53353	18166
746	53445	18101
747	53490	18021
748	53543	17943
749	53626	17875
750	53715	17809
751	53767	17731
752	53854	17665
753	53904	17586
754	53985	17518
755	54077	17453
756	54155	17384
757	54190	17301
758	54243	17223
759	54300	17147
760	54392	17082
761	54483	17017
762	54560	16947
763	54602	16866
764	54698	16802
765	54767	16730
766	54846	16661
767	54889	16581
768	54939	16503
769	55046	16442
770	55086	16361
771	55129	16281
772	55226	16217
773	55330	16155
774	55396	16082
775	55456	16008
776	55509	15931
777	55598	15864
778	55686	15798
779	55758	15726
780	55882	15670
781	55936	15593
782	56017	15524
783	56090	15453
784	56192	15390
785	56242	15312
786	56330	15245
787	56385	15169
788	56456	15097
789	56507	15021
790	56604	14956
791	56693	14889
792	56741	14811
793	56812	14739
794	56856	14661
795	56934	14591
796	56999	14518
797	57045	14440
798	57097	14363
799	57183	14295
800	57308	14237
801	57368	14163
802	57426	14088
803	57521	14022
804	57606	13954
805	57697	13887
806	57767	13815
807	57812	13737
808	57895	13668
809	57977	13599
810	58015	13520
811	58076	13446
812	58174	13380
813	58264	13313
814	58313	13236
815	58408	13170
816	58458	13094
817	58542	13025
818	58600	12950
819	58634	12871
820	58737	12806
821	58787	12730
822	58843	12655
823	58885	12577
824	58976	12510
825	59059	12441
826	59140	12371
827	59225	12302
828	59266	12224
829	59318	12149
830	59421	12084
831	59477	12009
832	59529	11934
833	59591	11861
834	59635	11784
835	59700	11711
836	59745	11634
837	59811	11562
838	59868	11488
839	59910	11411
840	60005	11344
841	60072	11272
842	60131	11198
843	60227	11132
844	60276	11056
845	60320	10980
846	60402	10911
847	60494	10843
848	60581	10774
849	60683	10708
850	60781	10642
851	60846	10569
852	60891	10493
853	60977	10424
854	61078	10358
855	61157	10288
856	61254	10220
857	61299	10145
858	61374	10074
859	61464	10005
860	61518	9931
861	61613	9863
862	61734	9800
863	61789	9726
864	61899	9660
865	61988	9591
866	62044	9517
867	62141	9450
868	62187	9374
869	62243	9300
870	62291	9225
871	62407	9160
872	62453	9085
873	62512	9012
874	62596	8942
875	62653	8868
876	62732	8798
877	62787	8724
878	62839	8650
879	62906	8578
880	62964	8504
881	63025	8431
882	63089	8359
883	63173	8289
884	63224	8215
885	63317	8146
886	63362	8072
887	63417	7998
888	63526	7931
889	63628	7864
890	63665	7788
891	63766	7720
892	63832	7648
893	63895	7576
894	63942	7501
895	64006	7429
896	64046	7354
897	64122	7283
898	64170	7209
899	64268	7140
900	64368	7072
901	64412	6998
902	64459	6924
903	64523	6852
904	64572	6778
905	64647	6707
906	64696	6633
907	64760	6561
908	64854	6492
909	64942	6422
910	64993	6349
911	65086	6280
912	65143	6207
913	65215	6136
914	65271	6063
915	65356	5993
916	65394	5918
917	65448	5846
918	65537	5776
919	65578	5702
920	65658	5631
921	65739	5561
922	65781	5487
923	65868	5417
924	65909	5343
925	65973	5272
926	66008	5198
927	66052	5124
928	66123	5053
929	66200	4982
930	66294	4913
931	66419	4846
932	66472	4773
933	66546	4702
934	66607	4630
935	66726	4562
936	66798	4491
937	66860	4419
938	66931	4348
939	67018	4277
940	67086	4206
941	67175	4136
942	67221	4063
943	67280	3991
944	67371	3921
945	67411	3847
946	67483	3776
947	67583	3707
948	67650	3635
949	67718	3564
950	67769	3491
951	67868	3421
952	67924	3349
953	68011	3279
954	68087	3208
955	68140	3136
956	68225	3065
957	68273	2993
958	68322	2920
959	68417	2850
960	68487	2779
961	68527	2706
962	68612	2636
963	68709	2565
964	68791	2495
965	68855	2423
966	68938	2352
967	69016	2281
968	69061	2209
969	69168	2139
970	69244	2068
971	69280	1995
972	69397	1925
973	69483	1854
974	69572	1783
975	69655	1712
976	69776	1642
977	69817	1570
978	69909	1499
979	69982	1428
980	70043	1356
981	70088	1284
982	70136	1212
983	70197	1141
984	70324	1070
985	70378	999
986	70486	928
987	70577	857
988	70629	785
989	70669	713
990	70773	642
991	70846	571
992	70923	499
993	71022	428
994	71157	357
995	71245	286
996	71314	214
997	71369	143
998	71432	71
999	71500	0
